375 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge', 'refload']
1275 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
1695 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
2595 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
3495 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
3615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
4455 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
5355 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
6255 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
6615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
7215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
8115 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
9015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
9435 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
9615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
10215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
10815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
11415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
12015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
12615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
13215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
13815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
14415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
15015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
15615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
15675 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
16215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
16815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
16995 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
17415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
18015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
18615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
19215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
19755 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
19815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
20415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
21015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
21615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
22215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
22515 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
22815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
23415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
24015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
24315 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
24615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
24735 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
25215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
25815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
