t[s],Converged,Pload,P7 (csv),Unresp (opf),P7 (rpf),Resp (opf),GLD Pub,BID?,P7 Min,V7,LMP_P7,LMP_Q7,Pgen1,Pgen2,Pgen3,Pgen4,Pdisp,Deg,c2,c1
0,True,315.000,100.000,0.000,100.000,-0.000,0.000,False,0.000,0.984,14.065,0.000,212.76,68.87,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
15,True,315.000,100.000,0.000,100.000,-0.000,0.000,False,0.000,0.984,14.065,0.000,212.76,68.87,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
30,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
45,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
60,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
75,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
90,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
105,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
120,True,369.852,100.000,0.000,154.852,-0.000,54.852,False,0.000,0.977,14.065,0.000,212.76,124.67,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
135,True,369.402,100.000,0.000,154.402,-0.000,54.402,False,0.000,0.977,14.065,0.000,212.76,124.21,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
150,True,369.402,100.000,0.000,154.402,-0.000,54.402,False,0.000,0.977,14.065,0.000,212.76,124.21,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
165,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
180,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
195,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
210,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
225,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
240,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
255,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
270,True,368.540,100.000,0.000,153.540,-0.000,53.540,False,0.000,0.977,14.065,0.000,212.76,123.33,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
285,True,367.328,99.563,0.000,153.103,-0.000,53.540,False,0.000,0.975,16.029,0.000,245.48,82.39,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
300,True,367.328,99.563,0.000,153.103,-0.000,53.540,False,0.000,0.975,16.029,0.000,245.48,82.39,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
315,True,367.328,99.563,0.000,153.103,-0.000,53.540,False,0.000,0.975,16.029,0.000,245.48,82.39,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
330,True,367.328,99.563,0.000,153.103,-0.000,53.540,False,0.000,0.975,16.029,0.000,245.48,82.39,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
345,True,358.783,99.563,0.000,144.558,-0.000,44.995,False,0.000,0.977,16.029,0.000,245.48,73.69,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
360,True,358.783,99.563,0.000,144.558,-0.000,44.995,False,0.000,0.977,16.029,0.000,245.48,73.69,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
375,True,358.783,99.563,0.000,144.558,-0.000,44.995,False,0.000,0.977,16.029,0.000,245.48,73.69,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
390,True,358.783,99.563,0.000,144.558,-0.000,44.995,False,0.000,0.977,16.029,0.000,245.48,73.69,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
405,True,358.783,99.563,0.000,144.558,-0.000,44.995,False,0.000,0.977,16.029,0.000,245.48,73.69,45.20,0.00,0.00,0.0000,999.00000000,0.00000000
