Date/Time,BATH_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CAFETERIA_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),COMPUTER_CLASS_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_1_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_1_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_1_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_2_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_2_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_2_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORRIDOR_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORRIDOR_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORRIDOR_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),GYM_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),KITCHEN_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MAIN_CORRIDOR_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_1_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_1_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_1_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_2_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_2_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_2_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),OFFICES_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Desired Temperature [](TimeStep),EMS:Heating Desired Temperature [](TimeStep),EMS:Cooling Thermostat Deadband [](TimeStep),EMS:Heating Thermostat Deadband [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.61300768483,0.0,80.6,60.8039822139421,0.0,0.0,80.6076552105926,60.8039822139421,1.,0.0,48783.4466389571,0.0 
 07/01  00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48782.9355517348,0.0 
 07/01  00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48782.4146506538,0.0 
 07/01  00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48781.8269531317,0.0 
 07/01  00:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48780.8009516769,0.0 
 07/01  00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48779.6962915792,0.0 
 07/01  00:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48778.5403664801,0.0 
 07/01  00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48777.3356594623,0.0 
 07/01  00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48776.0847562903,0.0 
 07/01  00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48774.7902320195,0.0 
