startTime,endTime,energy
1,1,-2.9381315126539613
2,2,-2.809456478106854
3,3,-2.809456478106854
4,4,-2.7809833402953545
6,6,-4.665933664877462
7,7,-4.67493670096759
8,8,-3.3537003049495198
9,9,-3.8250928178546415
10,10,-3.9897682580285236
11,11,-3.7432129478530562
12,12,-4.445625081763783
13,13,-3.856418359262853
14,14,-3.68540131182253
15,15,-3.797428834517299
16,16,-2.721781721722829
18,18,-2.648784632121979
19,19,-3.223322335667132
20,20,-2.8670982951467954
21,21,-4.239400329718445
22,22,-3.5445952979419872
23,23,-4.297336561215025
24,24,-3.838209205077416
25,25,-5.813340409376919
27,27,-5.7263379874947615
28,28,-5.961215416849586
29,29,-8.030055917570152
30,30,-8.08393233360335
31,31,-8.333105382174201
32,32,-8.206104297877802
33,33,-8.350498664279353
34,34,-8.469216297549774
35,35,-8.293282267738356
36,36,-9.355201601427579
37,37,-8.873953629932833
38,38,-9.122326657039787
39,39,-9.43740745300924
40,40,-9.700327088554738
41,41,-9.079004510695075
42,42,-9.250387091652568
43,43,-9.125298495706787
44,44,-8.958369890093273
45,45,-9.26441461151482
46,46,-8.852163971750386
47,47,-9.003374832932321
48,48,-8.78139673210462
49,49,-8.776666257685081
50,50,-8.315285375107994
51,51,-8.321980476036458
52,52,-8.327037997168805
53,53,-8.180435016767365
54,54,-7.991903313149734
55,55,-8.176453756511593
56,56,-9.147481355746566
57,57,-7.8929623690671145
58,58,-7.8093463693055885
59,59,-9.45283610303537
61,61,-8.421603384504012
62,62,-8.705408315392393
63,63,-7.951960566688631
64,64,-8.579210187130034
65,65,-7.745044766518906
66,66,-8.906241247648865
67,67,-7.931158910725051
68,68,-9.222340070198495
69,69,-8.931615922795963
71,71,-8.783242117842132
72,72,-10.352014117726116
73,73,-10.776663731333601
74,74,-10.783057419496673
75,75,-10.773056952172785
76,76,-10.76398910792438
77,77,-10.428426575305282
78,78,-10.299079066521376
79,79,-10.464394369868991
80,80,-10.193665690348526
81,81,-10.032001855415537
82,82,-10.057551287111785
83,83,-10.043612689367933
84,84,-9.344880556342487
85,85,-9.933151653963856
86,86,-8.951407171914243
87,87,-9.613744307820468
88,88,-9.283077941475494
89,89,-8.691613421375243
90,90,-8.728863641647436
91,91,-8.725716981280396
93,93,-7.437687926246143
94,94,-6.70110493410209
95,95,-6.852806302023606
96,96,-6.364247143639526
